Tidspunkt;CAN-ID;Desc;Value
2025-06-21T17:58:08.9951700+02:00;200;Status4;0
2026-02-19T14:25:16.002263;999;FuelLevel;1
2025-06-21T17:58:08.9951700+02:00;200;Status5;0
2026-02-19T14:25:16.202263;999;FuelLevel;2
2025-06-21T17:58:08.9951700+02:00;200;Status6;1
2026-02-19T14:25:16.402263;999;FuelLevel;3
2025-06-21T17:58:08.9951700+02:00;200;Status7;1
2026-02-19T14:25:16.602263;999;FuelLevel;4
2025-06-21T17:58:08.9951700+02:00;204;Latitude;59,3073616
2026-02-19T14:25:16.802263;999;FuelLevel;5
2025-06-21T17:58:08.9951700+02:00;204;Longitude;4,865470409
2026-02-19T14:25:17.002263;999;FuelLevel;6
2025-06-21T17:58:08.9951700+02:00;201;Time;175809
2026-02-19T14:25:17.202263;999;FuelLevel;7
2025-06-21T17:58:08.9951700+02:00;201;Date;20250621
2026-02-19T14:25:17.402263;999;FuelLevel;8
2025-06-21T17:58:09.0415190+02:00;300;IsRunning;TRUE
2026-02-19T14:25:17.602263;999;FuelLevel;9
2025-06-21T17:58:09.0415190+02:00;300;IsFrozen;FALSE
2026-02-19T14:25:17.802263;999;FuelLevel;10
2025-06-21T17:58:09.0415190+02:00;300;IsNode;FALSE
2026-02-19T14:25:18.002263;999;FuelLevel;11
2025-06-21T17:58:09.0415190+02:00;300;IsCanRxFull;FALSE
2026-02-19T14:25:18.202263;999;FuelLevel;12
2025-06-21T17:58:09.0415190+02:00;300;IsCanTxFull;FALSE
2026-02-19T14:25:18.402263;999;FuelLevel;13
2025-06-21T17:58:09.0415190+02:00;300;IsSerialTxFull;FALSE
2026-02-19T14:25:18.602263;999;FuelLevel;14
2025-06-21T17:58:09.0415190+02:00;300;IsSerialRxFull;FALSE
2026-02-19T14:25:18.802263;999;FuelLevel;15
2025-06-21T17:58:09.0415190+02:00;300;LostPackages;0
2026-02-19T14:25:19.002263;999;FuelLevel;16
2025-06-21T17:58:09.0415190+02:00;300;TimeSinceBoot;7182
2026-02-19T14:25:19.202263;999;FuelLevel;17
2025-06-21T17:58:09.0415190+02:00;301;SNR;6
2026-02-19T14:25:19.402263;999;FuelLevel;18
2025-06-21T17:58:09.0415190+02:00;301;RSSI;-74
2026-02-19T14:25:19.602263;999;FuelLevel;19
2025-06-21T17:58:09.0415190+02:00;303;CanRx;0
2026-02-19T14:25:19.802263;999;FuelLevel;20
2025-06-21T17:58:09.0415190+02:00;303;CanTx;0
2026-02-19T14:25:20.002263;999;FuelLevel;21
2025-06-21T17:58:09.0415190+02:00;303;SerialRx;0
2026-02-19T14:25:20.202263;999;FuelLevel;22
2025-06-21T17:58:09.0415190+02:00;303;SerialTx;0
2026-02-19T14:25:20.402263;999;FuelLevel;23
2025-06-21T17:58:09.0415190+02:00;302;downlink;746362
2026-02-19T14:25:20.602263;999;FuelLevel;24
2025-06-21T17:58:09.0415190+02:00;302;uplink;746362
2026-02-19T14:25:20.802263;999;FuelLevel;25
2025-06-21T17:58:09.0569680+02:00;203;Altitude;24,05846214
2026-02-19T14:25:21.002263;999;FuelLevel;26
2025-06-21T17:58:09.0569680+02:00;203;Climbrate;0,135865003
2026-02-19T14:25:21.202263;999;FuelLevel;27
2025-06-21T17:58:09.0569680+02:00;202;Roll;34
2026-02-19T14:25:21.402263;999;FuelLevel;28
2025-06-21T17:58:09.0569680+02:00;202;Pitch;65213
2026-02-19T14:25:21.602263;999;FuelLevel;29
2025-06-21T17:58:09.0569680+02:00;202;Yaw;6145
2026-02-19T14:25:21.802263;999;FuelLevel;30
2025-06-21T17:58:09.0621180+02:00;3;Max_Altitude;26,10655785
2026-02-19T14:25:22.002263;999;FuelLevel;31
2025-06-21T17:58:09.0621180+02:00;3;Max_Velocity;0,000812035
2026-02-19T14:25:22.202263;999;FuelLevel;32
2025-06-21T17:58:09.0981670+02:00;108;Pressure;1,45651412
2026-02-19T14:25:22.402263;999;FuelLevel;33
2025-06-21T17:58:09.0981670+02:00;108;Temperature;20,24015999
2026-02-19T14:25:22.602263;999;FuelLevel;34
2025-06-21T17:58:09.0621180+02:00;2;Status9;2863315899
2026-02-19T14:25:22.802263;999;FuelLevel;35
2025-06-21T17:58:09.0621180+02:00;2;Status10;0
2026-02-19T14:25:23.002263;999;FuelLevel;36
2025-06-21T17:58:09.0621180+02:00;2;Status11;0
2026-02-19T14:25:23.202263;999;FuelLevel;37
2025-06-21T17:58:09.0621180+02:00;2;Status12;0
2026-02-19T14:25:23.402263;999;FuelLevel;38
2025-06-21T17:58:09.0621180+02:00;2;Status13;0
2026-02-19T14:25:23.602263;999;FuelLevel;39
2025-06-21T17:58:09.0621180+02:00;2;Status14;0
2026-02-19T14:25:23.802263;999;FuelLevel;40
2025-06-21T17:58:09.0621180+02:00;2;Status15;0
2026-02-19T14:25:24.002263;999;FuelLevel;41
2025-06-21T17:58:09.0621180+02:00;2;Status16;1
2026-02-19T14:25:24.202263;999;FuelLevel;42
2025-06-21T17:58:09.0621180+02:00;2;Status17;1
2026-02-19T14:25:24.402263;999;FuelLevel;43
2025-06-21T17:58:09.0621180+02:00;2;Status18;1
2026-02-19T14:25:24.602263;999;FuelLevel;44
2025-06-21T17:58:09.0621180+02:00;2;Status19;0
2026-02-19T14:25:24.802263;999;FuelLevel;45
2025-06-21T17:58:09.0621180+02:00;2;Status20;0
