Tidspunkt;CAN-ID;Desc;Value
2026-04-09T13:43:36.555674+02:00;200;Status4;0
2026-04-09T13:43:36.566348+02:00;200;Status5;0
2026-04-09T13:43:36.577884+02:00;200;Status6;1
2026-04-09T13:43:36.589174+02:00;200;Status7;1
2026-04-09T13:43:36.600195+02:00;204;Latitude;59,3073616
2026-04-09T13:43:36.611436+02:00;204;Longitude;4,865470409
2026-04-09T13:43:36.622575+02:00;201;Time;175809
2026-04-09T13:43:36.634091+02:00;201;Date;20250621
2026-04-09T13:43:36.645401+02:00;300;IsRunning;TRUE
2026-04-09T13:43:36.657977+02:00;300;IsFrozen;FALSE
2026-04-09T13:43:36.669267+02:00;300;IsNode;FALSE
2026-04-09T13:43:36.680575+02:00;300;IsCanRxFull;FALSE
2026-04-09T13:43:36.692725+02:00;300;IsCanTxFull;FALSE
2026-04-09T13:43:36.704483+02:00;300;IsSerialTxFull;FALSE
2026-04-09T13:43:36.716836+02:00;300;IsSerialRxFull;FALSE
2026-04-09T13:43:36.727975+02:00;300;LostPackages;0
2026-04-09T13:43:36.739001+02:00;300;TimeSinceBoot;7182
2026-04-09T13:43:36.751121+02:00;301;SNR;6
2026-04-09T13:43:36.762705+02:00;301;RSSI;-74
2026-04-09T13:43:36.774594+02:00;303;CanRx;0
2026-04-09T13:43:36.786499+02:00;303;CanTx;0
2026-04-09T13:43:36.798157+02:00;303;SerialRx;0
2026-04-09T13:43:36.809544+02:00;303;SerialTx;0
2026-04-09T13:43:36.820677+02:00;302;downlink;746362
2026-04-09T13:43:36.832638+02:00;302;uplink;746362
2026-04-09T13:43:36.844252+02:00;203;Altitude;24,05846214
2026-04-09T13:43:36.855375+02:00;203;Climbrate;0,135865003
2026-04-09T13:43:36.866690+02:00;202;Roll;34
2026-04-09T13:43:36.877750+02:00;202;Pitch;65213
2026-04-09T13:43:36.889707+02:00;202;Yaw;6145
2026-04-09T13:43:36.900851+02:00;3;Max_Altitude;26,10655785
2026-04-09T13:43:36.912310+02:00;3;Max_Velocity;0,000812035
2026-04-09T13:43:36.923785+02:00;108;Pressure;1,45651412
2026-04-09T13:43:36.935283+02:00;108;Temperature;20,24015999
2026-04-09T13:43:36.947290+02:00;2;Status9;2863315899
2026-04-09T13:43:36.959088+02:00;2;Status10;0
2026-04-09T13:43:36.970511+02:00;2;Status11;0
2026-04-09T13:43:36.982692+02:00;2;Status12;0
2026-04-09T13:43:36.994234+02:00;2;Status13;0
2026-04-09T13:43:37.006059+02:00;2;Status14;0
2026-04-09T13:43:37.018381+02:00;2;Status15;0
2026-04-09T13:43:37.030010+02:00;2;Status16;1
2026-04-09T13:43:37.041686+02:00;2;Status17;1
2026-04-09T13:43:37.053017+02:00;2;Status18;1
2026-04-09T13:43:37.065003+02:00;2;Status19;0
2026-04-09T13:43:37.076714+02:00;2;Status20;0
2026-04-09T13:43:37.087931+02:00;106;N2OInjector;1,517301083
2026-04-09T13:43:37.099901+02:00;106;ETHInjector;1,780172944
2026-04-09T13:43:37.110758+02:00;111;M1Pos;-0,808734894
2026-04-09T13:43:37.121950+02:00;111;M2Pos;0,048570234
2026-04-09T13:43:37.134325+02:00;999;FuelLevel;99
2026-04-09T13:43:37.145382+02:00;103;CalMotors;0
2026-04-09T13:43:37.156607+02:00;103;IDLE;1
2026-04-09T13:43:37.167911+02:00;103;Homing;0
2026-04-09T13:43:37.178964+02:00;103;Fire;0
2026-04-09T13:43:37.190283+02:00;103;Abort;0
2026-04-09T13:43:37.201819+02:00;103;Relief;0
2026-04-09T13:43:37.213138+02:00;103;Fueling;0
2026-04-09T13:43:37.224112+02:00;103;ExitMotors;0
2026-04-09T13:43:37.235679+02:00;103;EMatchActive;0
2026-04-09T13:43:37.246781+02:00;103;EMatch1Cont;1
2026-04-09T13:43:37.257895+02:00;103;EMatch2Cont;0
2026-04-09T13:43:37.269791+02:00;103;C1Charged;1
2026-04-09T13:43:37.281318+02:00;103;C2Charged;0
2026-04-09T13:43:37.292651+02:00;103;ReliefN2O;0
2026-04-09T13:43:37.304767+02:00;103;ReliefETH;0
2026-04-09T13:43:37.317769+02:00;103;FaultFDCan2;0
2026-04-09T13:43:37.329775+02:00;103;FaultSPI;0
2026-04-09T13:43:37.341609+02:00;103;FaultPETHTank;0
2026-04-09T13:43:37.353221+02:00;103;FaultPCC;0
2026-04-09T13:43:37.364996+02:00;103;FaultPFuelIn;0
2026-04-09T13:43:37.377052+02:00;103;FaultPOXIn;0
2026-04-09T13:43:37.390207+02:00;103;FaultPN2OTank;0
2026-04-09T13:43:37.401907+02:00;103;FaultTCC;0
2026-04-09T13:43:37.413788+02:00;103;FaultTFuelIn;0
2026-04-09T13:43:37.424805+02:00;103;FaultTOXIn;0
2026-04-09T13:43:37.436575+02:00;103;FaultTN2OTank;0
2026-04-09T13:43:37.448000+02:00;103;MotorsCalibrated;1
2026-04-09T13:43:37.458982+02:00;103;ValvesHomed;1
2026-04-09T13:43:37.470989+02:00;104;N2OTank;167,6294861
2026-04-09T13:43:37.482672+02:00;104;ETHTank;167,9984589
2026-04-09T13:43:37.494381+02:00;4;Drouge_pressure;167,7957001
2026-04-09T13:43:37.505401+02:00;4;Main_pressure;86,57258606
2026-04-09T13:43:37.516554+02:00;109;M1Temp;36
2026-04-09T13:43:37.528165+02:00;109;M2Temp;27
2026-04-09T13:43:37.541349+02:00;110;M1Curr;-0,075702071
2026-04-09T13:43:37.554767+02:00;110;M2Curr;0,006349325
2026-04-09T13:43:37.566241+02:00;107;N2OInjectorTemp;20,2506218
2026-04-09T13:43:37.577284+02:00;107;ETHInjectorTemp;19,74991035
2026-04-09T13:43:37.588636+02:00;112;N20Den;0,931809843
2026-04-09T13:43:37.599994+02:00;112;ETHDen;0,833000004
2026-04-09T13:43:37.611167+02:00;105;N2OPropellant;13,47249794
2026-04-09T13:43:37.622450+02:00;105;ETHPropellant;16,7122345
2026-04-09T13:43:37.633918+02:00;202;Roll;34
2026-04-09T13:43:37.644927+02:00;202;Pitch;65217
2026-04-09T13:43:37.655774+02:00;202;Yaw;6151
2026-04-09T13:43:37.667009+02:00;203;Altitude;24,04899597
2026-04-09T13:43:37.678174+02:00;203;Climbrate;0,102488875
2026-04-09T13:43:37.689717+02:00;202;Roll;35
2026-04-09T13:43:37.701048+02:00;202;Pitch;65219
2026-04-09T13:43:37.712293+02:00;202;Yaw;6159
2026-04-09T13:43:37.723496+02:00;999;FuelLevel;98
